title,description,isbn,total_copies,available_copies,status
Don Quijote de la Mancha,Aventuras de un caballero loco,9788424115531,5,5,disponible
Cien años de soledad,Historia de la familia Buendía,9780307350435,3,3,disponible
Orgullo y Prejuicio,Novela de costumbres y amor,9788467040418,4,4,disponible
Crimen y Castigo,Dilemas morales y justicia,9788420651330,2,2,disponible
El Principito,Relato corto sobre la vida,9780156013987,10,10,disponible
1984,Distopía política y vigilancia,9788466332514,6,6,disponible
La Odisea,Viaje épico de Ulises,9788424924515,3,3,disponible
El Gran Gatsby,El sueño americano en los años 20,9788467036411,4,4,disponible
Rayuela,Novela experimental de Cortázar,9788420431321,2,2,disponible
Hamlet,Tragedia de venganza y duda,9788437600123,5,5,disponible
